rule_id,src_service,dst_service,relation_scope,direct_supported,doc_url,verified_by,note
R001,s3,lambda,event_notification,true,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,S3 event notifications support Lambda as a destination.
R002,s3,sqs,event_notification,true,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,S3 event notifications support SQS queues as a destination.
R003,s3,sns,event_notification,true,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,S3 event notifications support SNS topics as a destination.
R004,s3,eventbridge,event_notification,true,https://docs.aws.amazon.com/AmazonS3/latest/userguide/EventBridge.html,,S3 can send all events to the default EventBridge bus.
R005,s3,step_functions,event_notification,false,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,"S3 cannot start a state machine directly. Route through EventBridge, or through Lambda."
R006,s3,dynamodb,event_notification,false,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,S3 has no direct write integration to DynamoDB. Compute has to sit between them.
R007,s3,kinesis_streams,event_notification,false,https://docs.aws.amazon.com/AmazonS3/latest/userguide/notification-how-to-event-types-and-destinations.html,,Kinesis Data Streams is not an S3 event notification destination.
R010,sqs,lambda,event_source_mapping,true,https://docs.aws.amazon.com/lambda/latest/dg/with-sqs.html,,Lambda polls SQS through an event source mapping.
R011,sqs,step_functions,event_source_mapping,false,https://docs.aws.amazon.com/step-functions/latest/dg/concepts-invoke-sfn.html,,"A queue cannot start a state machine on its own. Use EventBridge Pipes, or a Lambda."
R012,sqs,dynamodb,event_source_mapping,false,https://docs.aws.amazon.com/lambda/latest/dg/with-sqs.html,,SQS has no direct write integration to DynamoDB.
R013,sqs,eventbridge,pipes,true,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-pipes.html,,EventBridge Pipes accepts SQS as a source.
R020,dynamodb,lambda,stream,true,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Streams.Lambda.html,,DynamoDB Streams triggers Lambda through an event source mapping.
R021,dynamodb,step_functions,stream,false,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Streams.html,,"A DynamoDB stream cannot start a state machine directly. Use EventBridge Pipes, or a Lambda."
R022,dynamodb,sns,stream,false,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Streams.html,,A DynamoDB stream cannot publish to SNS directly.
